set JOBS := L1	L2	L3	L4	L5	L6	L7	L8	L9;

param a := 3;
param b := 10;

param p :=
L1 25
L2 9
L3 40
L4 25
L5 21
L6 32
L7 40
L8 27
L9 44;

param d :=
L1 300
L2 300
L3 300
L4 150
L5 150
L6 150
L7 200
L8 200
L9 200;

param setup:
      L1 L2 L3 L4 L5 L6 L7 L8 L9 :=

L1    0  3  3  0  3  3  0  3  3
L2    3  0  3  3  0  3  3  0  3
L3    3  3  0  3  3  0  3  3  0
L4    0  3  3  0  3  3  0  3  3
L5    3  0  3  3  0  3  3  0  3
L6    3  3  0  3  3  0  3  3  0
L7    0  3  3  0  3  3  0  3  3
L8    3  0  3  3  0  3  3  0  3
L9    3  3  0  3  3  0  3  3  0;
